iter	Passed	Remaining
1032	80509	75365
1033	80580	75280
1034	80653	75198
1035	80724	75114
1036	80796	75030
1037	80866	74946
1038	80935	74859
1039	81002	74771
1040	81074	74688
1041	81157	74614
1042	81228	74530
1043	81299	74447
1044	81369	74361
1045	81442	74279
1046	81513	74195
1047	81581	74108
1048	81653	74024
1049	81724	73941
1050	81796	73858
1051	81864	73771
1052	81933	73685
1053	82003	73601
1054	82079	73521
1055	82147	73434
1056	82216	73349
1057	82286	73264
1058	82358	73181
1059	82428	73096
1060	82498	73012
1061	82569	72929
1062	82642	72846
1063	82712	72762
1064	82785	72680
1065	82853	72594
1066	82925	72511
1067	82995	72427
1068	83066	72343
1069	83144	72266
1070	83214	72181
1071	83284	72097
1072	83358	72016
1073	83426	71930
1074	83495	71845
1075	83567	71762
1076	83638	71679
1077	83708	71595
1078	83779	71511
1079	83849	71427
1080	83920	71344
1081	83991	71260
1082	84061	71176
1083	84133	71093
1084	84202	71009
1085	84277	70929
1086	84356	70853
1087	84426	70769
1088	84489	70679
1089	84561	70596
1090	84631	70513
1091	84701	70429
1092	84769	70343
1093	84836	70257
1094	84907	70174
1095	84977	70090
1096	85051	70010
1097	85120	69925
1098	85188	69840
1099	85261	69759
1100	85335	69678
1101	85410	69599
1102	85480	69515
1103	85549	69431
1104	85618	69346
1105	85688	69263
1106	85756	69178
1107	85822	69091
1108	85891	69007
1109	85960	68923
1110	86028	68838
1111	86096	68752
1112	86165	68669
1113	86231	68582
1114	86301	68499
1115	86377	68420
1116	86445	68336
1117	86522	68258
1118	86594	68176
1119	86668	68096
1120	86743	68017
1121	86814	67935
1122	86883	67851
1123	86955	67769
1124	87028	67689
1125	87099	67606
1126	87163	67519
1127	87234	67436
1128	87307	67355
1129	87378	67273
1130	87448	67190
1131	87520	67109
1132	87588	67025
1133	87658	66942
1134	87730	66860
1135	87796	66775
1136	87863	66689
1137	87935	66608
1138	88009	66528
1139	88082	66447
1140	88155	66368
1141	88227	66286
1142	88304	66208
1143	88374	66126
1144	88445	66044
1145	88512	65959
1146	88582	65876
1147	88656	65796
1148	88729	65717
1149	88802	65636
1150	88872	65553
1151	88943	65472
1152	89014	65390
1153	89085	65308
1154	89157	65228
1155	89229	65146
1156	89303	65067
1157	89379	64988
1158	89452	64909
1159	89526	64829
1160	89597	64747
1161	89671	64668
1162	89740	64585
1163	89810	64502
1164	89879	64420
1165	89950	64338
1166	90021	64256
1167	90090	64174
1168	90156	64089
1169	90222	64004
1170	90298	63926
1171	90371	63845
1172	90437	63760
1173	90508	63680
1174	90575	63595
1175	90646	63514
1176	90716	63432
1177	90789	63352
1178	90864	63273
1179	90939	63195
1180	91010	63114
1181	91080	63032
1182	91152	62951
1183	91221	62869
1184	91297	62791
1185	91368	62710
1186	91439	62628
1187	91505	62544
1188	91575	62462
1189	91641	62377
1190	91713	62297
1191	91781	62214
1192	91853	62133
1193	91928	62055
1194	92001	61976
1195	92069	61892
1196	92143	61814
1197	92215	61733
1198	92288	61653
1199	92356	61570
1200	92426	61489
1201	92496	61408
1202	92568	61327
1203	92634	61243
1204	92703	61161
1205	92777	61082
1206	92846	61000
1207	92919	60921
1208	92998	60845
1209	93070	60765
1210	93140	60683
1211	93213	60604
1212	93286	60524
1213	93360	60446
1214	93430	60364
1215	93499	60282
1216	93572	60203
1217	93645	60124
1218	93718	60044
1219	93788	59963
1220	93857	59881
1221	93927	59800
1222	93996	59718
1223	94068	59637
1224	94139	59557
1225	94206	59474
1226	94277	59394
1227	94345	59311
1228	94414	59230
1229	94485	59149
1230	94552	59066
1231	94626	58988
1232	94700	58909
1233	94773	58830
1234	94843	58749
1235	94918	58671
1236	95014	58606
1237	95095	58532
1238	95169	58453
1239	95238	58371
1240	95309	58291
1241	95376	58208
1242	95451	58131
1243	95523	58051
1244	95596	57972
1245	95668	57892
1246	95736	57810
1247	95803	57727
1248	95873	57646
1249	95942	57565
1250	96010	57483
1251	96078	57401
1252	96151	57322
1253	96228	57245
1254	96304	57169
1255	96372	57086
1256	96446	57008
1257	96513	56926
1258	96583	56845
1259	96656	56766
1260	96725	56685
1261	96799	56606
1262	96869	56526
1263	96943	56448
1264	97016	56369
1265	97083	56286
1266	97151	56205
1267	97226	56127
1268	97300	56049
1269	97371	55969
1270	97440	55888
1271	97515	55810
1272	97589	55732
1273	97659	55652
1274	97733	55574
1275	97808	55496
1276	97881	55417
1277	97950	55336
1278	98018	55255
1279	98088	55174
1280	98158	55094
1281	98233	55016
1282	98310	54940
1283	98382	54861
1284	98451	54780
1285	98517	54698
1286	98592	54620
1287	98664	54541
1288	98731	54459
1289	98799	54378
1290	98872	54299
1291	98947	54221
1292	99019	54143
1293	99089	54062
1294	99158	53981
1295	99233	53904
1296	99302	53823
1297	99374	53744
1298	99447	53666
1299	99517	53586
1300	99587	53506
1301	99659	53427
1302	99732	53348
1303	99803	53269
1304	99873	53189
1305	99942	53108
1306	100012	53028
1307	100080	52947
1308	100149	52867
1309	100222	52788
1310	100295	52710
1311	100366	52631
1312	100438	52552
1313	100510	52473
1314	100580	52393
1315	100647	52312
1316	100714	52231
1317	100785	52151
1318	100855	52071
1319	100925	51991
1320	100995	51912
1321	101069	51834
1322	101140	51755
1323	101215	51677
1324	101283	51597
1325	101355	51518
1326	101426	51439
1327	101496	51359
1328	101572	51283
1329	101647	51206
1330	101717	51126
1331	101783	51044
1332	101850	50963
1333	101920	50883
1334	101990	50804
1335	102060	50724
1336	102129	50644
1337	102204	50567
1338	102275	50488
1339	102346	50409
1340	102416	50330
1341	102485	50249
1342	102554	50169
1343	102626	50091
1344	102694	50011
1345	102765	49931
1346	102832	49851
1347	102907	49774
1348	102980	49696
1349	103055	49619
1350	103124	49539
1351	103199	49462
1352	103269	49383
1353	103343	49305
1354	103414	49226
1355	103483	49146
1356	103554	49068
1357	103624	48988
1358	103696	48910
1359	103764	48830
1360	103832	48750
1361	103902	48671
1362	103974	48592
1363	104045	48513
1364	104111	48432
1365	104185	48355
1366	104256	48276
1367	104326	48197
1368	104398	48119
1369	104466	48039
1370	104535	47959
1371	104605	47880
1372	104674	47800
1373	104746	47722
1374	104819	47645
1375	104897	47569
1376	104973	47493
1377	105043	47414
1378	105114	47336
1379	105189	47259
1380	105257	47179
1381	105339	47105
1382	105402	47023
1383	105464	46941
1384	105536	46862
1385	105612	46786
1386	105684	46708
1387	105757	46630
1388	105846	46560
1389	105924	46484
1390	106001	46408
1391	106077	46332
1392	106159	46258
1393	106236	46183
1394	106310	46106
1395	106382	46027
1396	106464	45954
1397	106542	45878
1398	106616	45801
1399	106686	45722
1400	106759	45645
1401	106834	45568
1402	106916	45494
1403	106997	45420
1404	107070	45343
1405	107152	45269
1406	107231	45194
1407	107313	45120
1408	107395	45046
1409	107467	44968
1410	107544	44892
1411	107613	44813
1412	107681	44734
1413	107750	44654
1414	107818	44575
1415	107887	44495
1416	107958	44417
1417	108031	44340
1418	108109	44264
1419	108190	44190
1420	108269	44115
1421	108345	44039
1422	108425	43964
1423	108500	43887
1424	108577	43812
1425	108651	43735
1426	108723	43657
1427	108791	43577
1428	108863	43499
1429	108931	43420
1430	108999	43340
1431	109071	43262
1432	109152	43188
1433	109223	43110
1434	109293	43031
1435	109358	42951
1436	109424	42871
1437	109493	42792
1438	109563	42713
1439	109633	42635
1440	109693	42552
1441	109764	42474
1442	109837	42397
1443	109907	42318
1444	109974	42239
1445	110040	42159
1446	110116	42083
1447	110190	42006
1448	110255	41926
1449	110321	41846
1450	110386	41765
1451	110455	41687
1452	110524	41608
1453	110591	41528
1454	110657	41448
1455	110722	41368
1456	110795	41291
1457	110867	41214
1458	110935	41135
1459	111006	41057
1460	111078	40979
1461	111152	40902
1462	111227	40826
1463	111293	40746
1464	111371	40671
1465	111445	40594
1466	111516	40516
1467	111589	40439
1468	111652	40359
1469	111720	40280
1470	111792	40202
1471	111862	40124
1472	111935	40047
1473	112001	39967
1474	112073	39890
1475	112142	39812
1476	112210	39733
1477	112283	39656
1478	112355	39578
1479	112429	39502
1480	112498	39423
1481	112569	39346
1482	112635	39266
1483	112705	39188
1484	112779	39112
1485	112848	39033
1486	112918	38955
1487	112986	38876
1488	113052	38797
1489	113148	38728
1490	113217	38650
1491	113288	38572
1492	113364	38496
1493	113433	38418
1494	113502	38340
1495	113571	38262
1496	113645	38185
1497	113715	38107
1498	113786	38030
1499	113858	37952
1500	113926	37874
1501	113996	37796
1502	114065	37718
1503	114135	37640
1504	114203	37562
1505	114271	37483
1506	114343	37406
1507	114421	37331
1508	114491	37253
1509	114561	37175
1510	114633	37098
1511	114704	37021
1512	114779	36944
1513	114845	36865
1514	114916	36788
1515	114983	36709
1516	115053	36631
1517	115131	36556
1518	115200	36478
1519	115269	36400
1520	115340	36323
1521	115412	36246
1522	115490	36171
1523	115566	36095
1524	115639	36018
1525	115710	35941
1526	115779	35863
1527	115846	35784
1528	115919	35708
1529	115981	35628
1530	116052	35551
1531	116122	35473
1532	116193	35396
1533	116263	35318
1534	116333	35241
1535	116411	35165
1536	116480	35088
1537	116563	35014
1538	116632	34936
1539	116703	34859
1540	116773	34782
1541	116843	34704
1542	116913	34627
1543	116982	34549
1544	117044	34469
1545	117119	34393
1546	117204	34320
1547	117265	34240
1548	117331	34161
1549	117403	34084
1550	117472	34007
1551	117536	33928
1552	117609	33851
1553	117682	33775
1554	117754	33698
1555	117826	33621
1556	117896	33544
1557	117964	33466
1558	118034	33388
1559	118111	33313
1560	118181	33236
1561	118251	33158
1562	118319	33080
1563	118381	33001
1564	118453	32924
1565	118525	32848
1566	118600	32772
1567	118676	32696
1568	118752	32621
1569	118824	32544
1570	118892	32466
1571	118960	32388
1572	119029	32311
1573	119104	32235
1574	119174	32158
1575	119240	32080
1576	119308	32002
1577	119378	31924
1578	119446	31847
1579	119519	31771
1580	119586	31693
1581	119659	31616
1582	119730	31539
1583	119805	31464
1584	119874	31386
1585	119942	31309
1586	120008	31230
1587	120083	31155
1588	120152	31077
1589	120223	31001
1590	120292	30923
1591	120361	30846
1592	120428	30768
1593	120503	30692
1594	120571	30615
1595	120644	30539
1596	120719	30463
1597	120791	30386
1598	120868	30311
1599	120939	30234
1600	121008	30157
1601	121082	30081
1602	121152	30004
1603	121223	29927
1604	121298	29852
1605	121366	29774
1606	121444	29699
1607	121522	29624
1608	121598	29549
1609	121674	29474
1610	121752	29399
1611	121833	29324
1612	121905	29248
1613	121979	29172
1614	122053	29096
